nome,precoNormal,precoPromo,descricao,categoria,img
QUEIJO DE BUFALA BURRATAS BOM DESTINO 120G,22.9,16.9,queijo burrata 120 g 100 % QUEIJO DE BUFALA , SEMPRE FRESQUINHA,outro,https://fibo.promokit.com.br/images/empresa/ea470df0-00d3-11f0-955b-5b8ad7a6074b.png
QUEIJO GRANA PADANO 1KG GRANPARMA,149.9,123.9,PRODUTO PESADO NO ATO DA COMPRA... (texto completo),outro,https://fibo.promokit.com.br/images/empresa/5eddcd30-d7ed-11ef-a5a9-e1bb9cce4d3a.png
QUEIJO DE BUFALA MOZZARELLA BOM DESTINO,22.9,14.9,queijo MUSSARELLA DE BUFALA 160 g 100 % QUEIJO DE BUFALA...,outro,https://fibo.promokit.com.br/images/empresa/1f21de40-00d6-11f0-9615-6770c85e1b53.png
QUEIJO BURRATA DIBUFALO 200 G,29.9,24.9,QUEIJO BURRATA DIBUFALO COM CREME DE LEITE...,outro,https://fibo.promokit.com.br/images/empresa/24f9cfa0-00d9-11f0-ae5c-035fb4fe4984.png
VINHO TINTO ALMA VIVA,1899.9,1499.9,Os vinhos Almaviva são... premium Franco-Chileno...,tinto,https://fibo.promokit.com.br/images/empresa/27156db0-ff5a-11ef-b7e9-bfb76a6f1249.png
